id,year,country,city,category,firstname,surname,gender
220,1957,GBR,Cambridge,chemistry,Lord (Alexander R.),Todd,male
221,1958,GBR,Cambridge,chemistry,Frederick,Sanger,male
222,1980,GBR,Cambridge,chemistry,Frederick,Sanger,male
223,1959,,Prague,chemistry,Jaroslav,Heyrovsky,male
224,1960,USA,"Los Angeles, CA",chemistry,Willard Frank,Libby,male
225,1961,USA,"Berkeley, CA",chemistry,Melvin,Calvin,male
226,1962,GBR,Cambridge,chemistry,Max Ferdinand,Perutz,male
227,1962,GBR,Cambridge,chemistry,John Cowdery,Kendrew,male
228,1963,,Mülheim/Ruhr,chemistry,Karl,Ziegler,male
229,1963,ITA,Milan,chemistry,Giulio,Natta,male
230,1964,GBR,Oxford,chemistry,Dorothy Crowfoot,Hodgkin,female
231,1965,USA,"Cambridge, MA",chemistry,Robert Burns,Woodward,male
232,1966,USA,"Chicago, IL",chemistry,Robert S.,Mulliken,male
233,1967,,Göttingen,chemistry,Manfred,Eigen,male
234,1967,GBR,Cambridge,chemistry,Ronald George Wreyford,Norrish,male
235,1967,GBR,London,chemistry,George,Porter,male
236,1968,USA,"New Haven, CT",chemistry,Lars,Onsager,male
237,1969,GBR,London,chemistry,Derek H. R.,Barton,male
238,1969,NOR,Oslo,chemistry,Odd,Hassel,male
239,1970,ARG,Buenos Aires,chemistry,Luis F.,Leloir,male
240,1971,CAN,Ottawa,chemistry,Gerhard,Herzberg,male
241,1972,USA,"Bethesda, MD",chemistry,Christian B.,Anfinsen,male
242,1972,USA,"New York, NY",chemistry,Stanford,Moore,male
243,1972,USA,"New York, NY",chemistry,William H.,Stein,male
244,1973,,Munich,chemistry,Ernst Otto,Fischer,male
245,1973,GBR,London,chemistry,Geoffrey,Wilkinson,male
246,1974,USA,"Stanford, CA",chemistry,Paul J.,Flory,male
247,1975,GBR,Brighton,chemistry,John Warcup,Cornforth,male
248,1975,CHE,Zurich,chemistry,Vladimir,Prelog,male
249,1976,USA,"Cambridge, MA",chemistry,William N.,Lipscomb,male
250,1977,BEL,Brussels,chemistry,Ilya,Prigogine,male
251,1978,GBR,Bodmin,chemistry,Peter D.,Mitchell,male
252,1979,USA,"West Lafayette, IN",chemistry,Herbert C.,Brown,male
253,1979,,Heidelberg,chemistry,Georg,Wittig,male
254,1980,USA,"Stanford, CA",chemistry,Paul,Berg,male
255,1980,USA,"Cambridge, MA",chemistry,Walter,Gilbert,male
256,1981,JPN,Kyoto,chemistry,Kenichi,Fukui,male
257,1981,USA,"Ithaca, NY",chemistry,Roald,Hoffmann,male
258,1982,GBR,Cambridge,chemistry,Aaron,Klug,male
259,1983,USA,"Stanford, CA",chemistry,Henry,Taube,male
260,1984,USA,"New York, NY",chemistry,Robert Bruce,Merrifield,male
261,1985,USA,"Buffalo, NY",chemistry,Herbert A.,Hauptman,male
262,1985,USA,"Washington, DC",chemistry,Jerome,Karle,male
263,1986,USA,"Cambridge, MA",chemistry,Dudley R.,Herschbach,male
264,1986,USA,"Berkeley, CA",chemistry,Yuan T.,Lee,male
265,1986,CAN,Toronto,chemistry,John C.,Polanyi,male
266,1987,USA,"Los Angeles, CA",chemistry,Donald J.,Cram,male
267,1987,FRA,Strasbourg,chemistry,Jean-Marie,Lehn,male
268,1987,USA,"Wilmington, DE",chemistry,Charles J.,Pedersen,male
269,1988,USA,"Dallas, TX",chemistry,Johann,Deisenhofer,male
270,1988,,Martinsried,chemistry,Robert,Huber,male
271,1988,,Frankfurt-on-the-Main,chemistry,Hartmut,Michel,male
272,1989,USA,"New Haven, CT",chemistry,Sidney,Altman,male
273,1989,USA,"Boulder, CO",chemistry,Thomas R.,Cech,male
274,1990,USA,"Cambridge, MA",chemistry,Elias James,Corey,male
275,1991,CHE,Zurich,chemistry,Richard R.,Ernst,male
276,1992,USA,"Pasadena, CA",chemistry,Rudolph A.,Marcus,male
277,1993,USA,"La Jolla, CA",chemistry,Kary B.,Mullis,male
278,1993,CAN,Vancouver,chemistry,Michael,Smith,male
279,1994,USA,"Los Angeles, CA",chemistry,George A.,Olah,male
280,1995,,Mainz,chemistry,Paul J.,Crutzen,male
